"V62","Dep_v62","V70"
"GPRICEINDEX","pgov","E_pgov"
"GOVDMNDS","qg","(no-match)"
"GOVU","yg","E_yg"
"GHHDPRICE","pgd","E_pgd"
"GHHIPRICES","pgm","E_pgm"
"GCOMPRICE","pg","(no-match)"
"GHHLDAGRIMP","qgm","E_qgm"
"GHHLDDOM","qgd","E_qgd"
"TGCRATIO","VDGA","(no-match)"
"PHHLDINDEX","ppriv","E_ppriv"
"PRIVATEU","yp","E_yp"
"UTILELASPRIV","uepriv","E_uepriv"
"PRIVDMNDS","qp","(no-match)"
"TPDSHIFT","atpd","(no-match)"
"PHHDPRICE","ppd","E_ppd"
"TPMSHIFT","atpm","(no-match)"
"PHHIPRICES","ppm","E_ppm"
"TPCRATIO","VDPA","(no-match)"
"PCOMPRICE","pp","(no-match)"
"PHHLDDOM","qpd","E_qpd"
"PHHLDAGRIMP","qpm","E_qpm"
"AOWORLD","ao","E_ao"
"AVAWORLD","ava","E_ava"
"VADEMAND","qva","E_qva"
"AFWORLD","af","(no-match)"
"INTDEMAND","qf","(no-match)"
"DMNDDPRICE","pfd","E_pfd"
"DMNDIPRICES","pfm","E_pfm"
"TIURATIO","VDFA","(no-match)"
"ICOMPRICE","pf","(no-match)"
"INDIMP","qfm","E_qfm"
"INDDOM","qfd","E_qfd"
"MPFACTPRICE","pfe","E_pfe"
"SPFACTPRICE","pfe","E_pfe"
"AFEWORLD","afe","E_afe"
"VAPRICE","pva","E_pva"
"TFURATIO","VFA","(no-match)"
"ENDWDEMAND","qfe","E_qfe;E_peb"
"OUTPUTPRICES","ps","(no-match)"
"TOUTRATIO","VOA","(no-match)"
"ZEROPROFITS","ps","(no-match)"
"KAPSVCES","ksvces","(no-match)"
"KAPRENTAL","rental","E_rental"
"CAPGOODS","qcgds","(no-match)"
"PRCGOODS","pcgds","(no-match)"
"KBEGINNING","kb","E_kb"
"KEND","ke","E_ke"
"RORCURRENT","rorc","E_rorc"
"ROREXPECTED","rore","E_rore"
"BALDWIN","EXPAND","E_expand"
"RORGLOBAL","","E_qinv;E_globalcgds;E_del_taxrexp;E_del_taxrinc;E_walras_dem;E_del_tbalry"
"GLOBALINV","RORDELTA","(no-match)"
"PRICGDS","pcgdswld","E_pcgdswld"
"SAVEPRICE","psave","E_qsave;E_psave"
"EXPRICES","pfob","E_pfob"
"TEXPRATIO","VXMD","(no-match)"
"MKTPRICES","pms","E_pms"
"DPRICEIMP","pim","E_pim"
"PRICETGT","pr","E_pr"
"IMPORTDEMAND","qxs","E_qxs"
"TIMPRATIO","VIMS","(no-match)"
"QTRANS_MFSD","qtmfsd","E_qtmfsd"
"TRANS_DEMAND","qtm","E_qtm"
"PTRANSPORT","pt","E_pt"
"TRANSCOSTINDEX","ptrans","E_ptrans"
"TRANSTECHANGE","atmfsd","E_atmfsd"
"TRANSVCES","qst","E_qst"
"FOBCIF","pcif","E_pcif"
"FACTORINCPRICES","ps","(no-match)"
"TINCRATIO","VOA","(no-match)"
"ENDW_PRICE","pm","(no-match)"
"ENDW_SUPPLY","qoes","(no-match)"
"FACTORINCOME","FY","E_fincome"
"DINDTAXRATIO","del_indtaxr","E_del_indtaxr"
"DTAXRATIO","del_ttaxr","E_del_ttaxr"
"REGIONALINCOME","INCOME","E_y"
"DPARAV","dpav","E_dpav"
"UTILITELASTIC","uelas","E_uelas"
"PRIVCONSEXP","yp","E_yp"
"GOVCONSEXP","yg","E_yg"
"SAVING","psave","E_qsave;E_psave"
"PRICEINDEXREG","p","E_p"
"UTILITY","u","E_u;E_yev"
"DISTPARSUM","DPARSUM","E_dpsum"
"MKTCLDOM","qds","E_qds"
