"Name","Dep","Line"
"GPRICEINDEX","pgov","885"
"GOVDMNDS","qg","890"
"GOVU","yg","895"
"GHHDPRICE","pgd","911"
"GHHIPRICES","pgm","916"
"GCOMPRICE","pg","926"
"GHHLDAGRIMP","qgm","931"
"GHHLDDOM","qgd","936"
"TGCRATIO","VDGA","941"
"PHHLDINDEX","ppriv","978"
"PRIVATEU","yp","983"
"UTILELASPRIV","uepriv","999"
"PRIVDMNDS","qp","1052"
"TPDSHIFT","atpd","1084"
"PHHDPRICE","ppd","1089"
"TPMSHIFT","atpm","1098"
"PHHIPRICES","ppm","1103"
"TPCRATIO","VDPA","1108"
"PCOMPRICE","pp","1122"
"PHHLDDOM","qpd","1127"
"PHHLDAGRIMP","qpm","1132"
"AOWORLD","ao","1210"
"AVAWORLD","ava","1221"
"VADEMAND","qva","1232"
"AFWORLD","af","1251"
"INTDEMAND","qf","1256"
"DMNDDPRICE","pfd","1274"
"DMNDIPRICES","pfm","1286"
"TIURATIO","VDFA","1296"
"ICOMPRICE","pf","1311"
"INDIMP","qfm","1316"
"INDDOM","qfd","1321"
"MPFACTPRICE","pfe","1334"
"SPFACTPRICE","pfe","1339"
"AFEWORLD","afe","1352"
"VAPRICE","pva","1373"
"TFURATIO","VFA","1378"
"ENDWDEMAND","qfe","1393"
"OUTPUTPRICES","ps","1405"
"TOUTRATIO","VOA","1415"
"ZEROPROFITS","ps","1433"
"KAPSVCES","ksvces","1489"
"KAPRENTAL","rental","1499"
"CAPGOODS","qcgds","1505"
"PRCGOODS","pcgds","1515"
"KBEGINNING","kb","1520"
"KEND","ke","1547"
"RORCURRENT","rorc","1566"
"ROREXPECTED","rore","1585"
"BALDWIN","EXPAND","1599"
"RORGLOBAL","","1632"
"GLOBALINV","RORDELTA","1645"
"PRICGDS","pcgdswld","1663"
"SAVEPRICE","psave","1682"
"EXPRICES","pfob","1722"
"TEXPRATIO","VXMD","1727"
"MKTPRICES","pms","1755"
"DPRICEIMP","pim","1764"
"PRICETGT","pr","1771"
"IMPORTDEMAND","qxs","1793"
"TIMPRATIO","VIMS","1800"
"QTRANS_MFSD","qtmfsd","1906"
"TRANS_DEMAND","qtm","1933"
"PTRANSPORT","pt","1952"
"TRANSCOSTINDEX","ptrans","1983"
"TRANSTECHANGE","atmfsd","1989"
"TRANSVCES","qst","1994"
"FOBCIF","pcif","2022"
"FACTORINCPRICES","ps","2084"
"TINCRATIO","VOA","2094"
"ENDW_PRICE","pm","2105"
"ENDW_SUPPLY","qoes","2119"
"FACTORINCOME","FY","2135"
"DINDTAXRATIO","del_indtaxr","2144"
"DTAXRATIO","del_ttaxr","2153"
"REGIONALINCOME","INCOME","2176"
"DPARAV","dpav","2198"
"UTILITELASTIC","uelas","2206"
"PRIVCONSEXP","yp","2211"
"GOVCONSEXP","yg","2216"
"SAVING","psave","2221"
"PRICEINDEXREG","p","2233"
"UTILITY","u","2297"
"DISTPARSUM","DPARSUM","2307"
"MKTCLDOM","qds","2346"
"MKTCLTRD_MARG","qo","2377"
"MKTCLTRD_NMRG","qo","2385"
"MKTCLIMP","qim","2413"
"MKTCLENDWM","qo","2426"
"MKTCLENDWS","qoes","2435"
"WALRAS_S","walras_sup","2450"
"WALRAS_D","","2461"
"WALRAS","walras_sup","2477"
"REALRETURN","pfactreal","2558"
"PRIMFACTPR","VENDWREG","2574"
"PRIMFACTPRWLD","","2585"
"REGSUPRICE","VXWREGION","2599"
"REGDEMPRICE","VIWREGION","2613"
"TOTeq","tot","2625"
"VGDP_r","GDP","2652"
"PGDP_r","GDP","2666"
"QGDP_r","GDP","2679"
"COMPVALADEQ","compvalad","2695"
"VREGEX_ir_MARG","VXW","2763"
"VREGEX_ir_NMRG","VXW","2769"
"VREGEX_r","VXWREGION","2775"
"VWLDEX_i","VXWCOMMOD","2782"
"VWLDEX","VIW","2789"
"VREGIM_is","VIW","2793"
"VREGIM_s","VIWREGION","2799"
"VWLDIM_i","VIWCOMMOD","2806"
"VWLDOUT","VWOW","2813"
"VWLDOUTUSE","VWOU","2820"
"PREGEX_ir_MARG","VXW","2833"
"PREGEX_ir_NMRG","VXW","2839"
"PREGEX_r","VXWREGION","2846"
"PWLDEX_i","VXWCOMMOD","2853"
"PWLDEX","Variable","2860"
"PREGIM_is","VIW","2866"
"PREGIM_s","VIWREGION","2873"
"PWLDIM_i","VIWCOMMOD","2880"
"PWLDOUT","VWOW","2887"
"PWLDUSE","VWOU","2894"
"QREGEX_ir_MARG","VXW","2909"
"QREGEX_ir_NMRG","VXW","2914"
"QREGEX_r","VXWREGION","2924"
"QWLDEX_i","VXWCOMMOD","2934"
"QWLDEX","Variable","2944"
"QREGIM_is","VIW","2953"
"QREGIM_s","VIWREGION","2963"
"QWLDIM_i","VIWCOMMOD","2973"
"QWLDOUT","VWOW","2983"
"QWLDOUTU","VWOU","2993"
"TRADEBAL_i","DTBALi","3012"
"TRADEBALANCE","DTBAL","3020"
"DTBALRATIO","","3041"
"GOVUSHD","ygev","3132"
"PRIVDMNDSEV","qpev","3178"
"PRIVATEUEV","ypev","3192"
"UTILELASPRIVEV","ueprivev","3203"
"DPARAVEV","dpavev","3267"
"UTILITELASTICEV","uelasev","3275"
"PCONSEXPEV","ypev","3280"
"GOVCONSEXPEV","ygev","3285"
"SAVINGEV","ysaveev","3290"
"SAVEUEV","qsaveev","3295"
"INCOME_EQUIV","u","3312"
"EVREG","EV","3329"
"EVWLD","WEV","3336"
"EV_DECOMPOSITION","EV_ALT","3359"
"WORLDEV","WEV_ALT","3400"
"CNT_WEV_dpar","CNTdpar","3406"
"CONT_EV_pop","CNTpopr","3416"
"CONT_EV_qor","CNTqor","3422"
"CONT_EV_qoir","CNTqoir","3431"
"CONT_EV_qfer","CNTqfer","3438"
"CONT_EV_qfeir","CNTqfeir","3447"
"CONT_EV_qfeijr","CNTqfeijr","3456"
"CONT_EV_qfmr","CNTqfmr","3464"
"CONT_EV_qfmir","CNTqfmir","3473"
"CONT_EV_qfmijr","CNTqfmijr","3482"
"CONT_EV_qfdr","CNTqfdr","3490"
"CONT_EV_qfdir","CNTqfdir","3499"
"CONT_EV_qfdijr","CNTqfdijr","3508"
"CONT_EV_qpmr","CNTqpmr","3516"
"CONT_EV_qpmir","CNTqpmir","3525"
"CONT_EV_qpdr","CNTqpdr","3532"
"CONT_EV_qpdir","CNTqpdir","3541"
"CONT_EV_qgmr","CNTqgmr","3548"
"CONT_EV_qgmir","CNTqgmir","3557"
"CONT_EV_qgdr","CNTqgdr","3564"
"CONT_EV_qgdir","CNTqgdir","3573"
"CONT_EV_qxsr","CNTqxsr","3580"
"CONT_EV_qxsirs","CNTqxsirs","3589"
"CONT_EV_qimr","CNTqimr","3597"
"CONT_EV_qimisr","CNTqimisr","3606"
"CONT_EV_alleffr","CNTalleffr","3613"
"CONT_EV_alleffir_E","CNTalleffir","3635"
"CONT_EV_alleffir_T","CNTalleffir","3641"
"CONT_EV_totr","CNTtotr","3658"
"CNT_EV_cgdsr","CNTcgdsr","3669"
"CONT_EV_endwr","CNTendwr","3677"
"CONT_EV_endwir","CNTendwir","3686"
"CONT_EV_techr","CNTtechr","3692"
"CONT_EV_tech_aor","CNTtech_aor","3708"
