Variable,Region,Sector,Qualifier,Year,Value
"sam","Oceania","a_Crops","c_Crops",1,3.5776434E+4
"sam","Oceania","a_Crops","c_Crops",2,3.5776434E+4
"sam","Oceania","a_Crops","c_Crops",3,3.5776434E+4
"sam","Oceania","a_MeatLstk","c_MeatLstk",1,6.1047359E+4
"sam","Oceania","a_MeatLstk","c_MeatLstk",2,6.1047359E+4
"sam","Oceania","a_MeatLstk","c_MeatLstk",3,6.1047359E+4
"sam","Oceania","a_Extraction","c_Extraction",1,2.1841236E+5
"sam","Oceania","a_Extraction","c_Extraction",2,2.1841236E+5
"sam","Oceania","a_Extraction","c_Extraction",3,2.1841236E+5
"sam","Oceania","a_ProcFood","c_ProcFood",1,9.8884867E+4
"sam","Oceania","a_ProcFood","c_ProcFood",2,9.8884867E+4
"sam","Oceania","a_ProcFood","c_ProcFood",3,9.8884867E+4
"sam","Oceania","a_TextWapp","c_TextWapp",1,1.1212628E+4
"sam","Oceania","a_TextWapp","c_TextWapp",2,1.1212628E+4
"sam","Oceania","a_TextWapp","c_TextWapp",3,1.1212628E+4
"sam","Oceania","a_LightMnfc","c_LightMnfc",1,1.4319077E+5
"sam","Oceania","a_LightMnfc","c_LightMnfc",2,1.4319077E+5
"sam","Oceania","a_LightMnfc","c_LightMnfc",3,1.4319077E+5
"sam","Oceania","a_HeavyMnfc","c_HeavyMnfc",1,2.3699352E+5
"sam","Oceania","a_HeavyMnfc","c_HeavyMnfc",2,2.3699352E+5
"sam","Oceania","a_HeavyMnfc","c_HeavyMnfc",3,2.3699352E+5
"sam","Oceania","a_Util_Cons","c_Util_Cons",1,4.1287697E+5
"sam","Oceania","a_Util_Cons","c_Util_Cons",2,4.1287697E+5
"sam","Oceania","a_Util_Cons","c_Util_Cons",3,4.1287697E+5
"sam","Oceania","a_TransComm","c_TransComm",1,5.7101406E+5
"sam","Oceania","a_TransComm","c_TransComm",2,5.7101406E+5
"sam","Oceania","a_TransComm","c_TransComm",3,5.7101406E+5
"sam","Oceania","a_OthService","c_OthService",1,1.2091366E+6
"sam","Oceania","a_OthService","c_OthService",2,1.2091366E+6
"sam","Oceania","a_OthService","c_OthService",3,1.2091366E+6
"sam","Oceania","c_Crops","a_Crops",1,1.2452806E+3
"sam","Oceania","c_Crops","a_Crops",2,1.2452806E+3
"sam","Oceania","c_Crops","a_Crops",3,1.2452806E+3
"sam","Oceania","c_Crops","a_MeatLstk",1,2.9136567E+3
"sam","Oceania","c_Crops","a_MeatLstk",2,2.9136567E+3
"sam","Oceania","c_Crops","a_MeatLstk",3,2.9136567E+3
"sam","Oceania","c_Crops","a_Extraction",1,2.3529234E+2
"sam","Oceania","c_Crops","a_Extraction",2,2.3529234E+2
"sam","Oceania","c_Crops","a_Extraction",3,2.3529234E+2
"sam","Oceania","c_Crops","a_ProcFood",1,6.4898240E+3
"sam","Oceania","c_Crops","a_ProcFood",2,6.4898240E+3
"sam","Oceania","c_Crops","a_ProcFood",3,6.4898240E+3
