Variable,Region,Sector,Qualifier,Year,Value
alphaa,EU_28,c_Crops,gov,1,1.442959001E-04
alphaa,EU_28,c_Crops,gov,2,1.442959001E-04
alphaa,EU_28,c_Crops,gov,3,1.442959001E-04
alphaa,EU_28,c_Crops,hhd,1,5.499214956E-05
alphaa,EU_28,c_Crops,hhd,2,5.499214956E-05
alphaa,EU_28,c_Crops,hhd,3,5.499214956E-05
alphaa,EU_28,c_Crops,inv,1,5.576821545E-04
alphaa,EU_28,c_Crops,inv,2,5.576821545E-04
alphaa,EU_28,c_Crops,inv,3,5.576821545E-04
alphaa,EU_28,c_Extraction,gov,1,1.055912653E-05
alphaa,EU_28,c_Extraction,gov,2,1.055912653E-05
alphaa,EU_28,c_Extraction,gov,3,1.055912653E-05
alphaa,EU_28,c_Extraction,hhd,1,1.265053419E-03
alphaa,EU_28,c_Extraction,hhd,2,1.265053419E-03
alphaa,EU_28,c_Extraction,hhd,3,1.265053419E-03
alphaa,EU_28,c_Extraction,inv,1,2.231996982E-04
alphaa,EU_28,c_Extraction,inv,2,2.231996982E-04
alphaa,EU_28,c_Extraction,inv,3,2.231996982E-04
alphaa,EU_28,c_HeavyMnfc,gov,1,1.375640304E-02
alphaa,EU_28,c_HeavyMnfc,gov,2,1.375640304E-02
alphaa,EU_28,c_HeavyMnfc,gov,3,1.375640304E-02
alphaa,EU_28,c_HeavyMnfc,hhd,1,4.510404397E-02
alphaa,EU_28,c_HeavyMnfc,hhd,2,4.510404397E-02
alphaa,EU_28,c_HeavyMnfc,hhd,3,4.510404397E-02
alphaa,EU_28,c_HeavyMnfc,inv,1,2.054982353E-01
alphaa,EU_28,c_HeavyMnfc,inv,2,2.054982353E-01
alphaa,EU_28,c_HeavyMnfc,inv,3,2.054982353E-01
alphaa,EU_28,c_LightMnfc,gov,1,1.016874358E-04
alphaa,EU_28,c_LightMnfc,gov,2,1.016874358E-04
alphaa,EU_28,c_LightMnfc,gov,3,1.016874358E-04
alphaa,EU_28,c_LightMnfc,hhd,1,4.763609312E-02
alphaa,EU_28,c_LightMnfc,hhd,2,4.763609312E-02
alphaa,EU_28,c_LightMnfc,hhd,3,4.763609312E-02
alphaa,EU_28,c_LightMnfc,inv,1,1.089574025E-01
alphaa,EU_28,c_LightMnfc,inv,2,1.089574025E-01
alphaa,EU_28,c_LightMnfc,inv,3,1.089574025E-01
alphaa,EU_28,c_MeatLstk,gov,1,1.635338040E-05
alphaa,EU_28,c_MeatLstk,gov,2,1.635338040E-05
alphaa,EU_28,c_MeatLstk,gov,3,1.635338040E-05
alphaa,EU_28,c_MeatLstk,hhd,1,3.142358403E-03
alphaa,EU_28,c_MeatLstk,hhd,2,3.142358403E-03
alphaa,EU_28,c_MeatLstk,hhd,3,3.142358403E-03
alphaa,EU_28,c_MeatLstk,inv,1,1.075723702E-03
alphaa,EU_28,c_MeatLstk,inv,2,1.075723702E-03
alphaa,EU_28,c_MeatLstk,inv,3,1.075723702E-03
alphaa,EU_28,c_OthService,gov,1,9.728321057E-01
alphaa,EU_28,c_OthService,gov,2,9.728321057E-01
alphaa,EU_28,c_OthService,gov,3,9.728321057E-01
alphaa,EU_28,c_OthService,hhd,1,1.819505064E-01
alphaa,EU_28,c_OthService,hhd,2,1.819505064E-01
alphaa,EU_28,c_OthService,hhd,3,1.819505064E-01
